"","scientificName","eventDate","author","provenance","url","geometry"
"37","Carcinus maenas","2010-06-21","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(159461.782529173, 149216.599400112)
"38","Carcinus maenas","2022-08-05T00:00:00Z",NA,"OBIS","https://obis.org/dataset/a9624ba0-d7cc-4e60-bfd9-ce40817fdbc6",c(-223883.474173877, -5211.73828189442)
"39","Carcinus maenas","2005-07-15","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(93620.825573459, 43409.8989240592)
"40","Carcinus maenas","2005-07-25","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(14709.431616307, 84464.3243044792)
"41","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-182787.594976306, -190440.529266589)
"42","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(62598.9174244426, 118951.614032061)
"43","Botryllus schlosseri","2018-09-19","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(44704.7195424275, 78501.2149235431)
"44","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-6960.88620514653, 124081.618854411)
"45","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(44148.5853326795, 83331.0459902476)
"46","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-140002.194015802, -151863.09607548)
"47","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(40761.3106032184, 99346.6988037501)
"48","Botrylloides violaceus","2018-09-20","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(20022.6060288818, 125268.156093588)
