,river,g,mean_priority,metric,value,norm,score,goal
312,RIVER_JOHN,15,0.361753195,EBSAproportion,0,0,0,EBSAproportion
313,RIVER_JOHN,15,0.361753195,NSResproportion,0,0,0,NSResproportion
314,RIVER_JOHN,15,0.361753195,nativeFish,11,52.38095238,52.38095238,nativeFish
315,RIVER_JOHN,15,0.361753195,RecFishproportion,3,50,50,RecFishproportion
316,RIVER_JOHN,15,0.361753195,NSParksproportion,5,17.24137931,17.24137931,NSParksproportion
317,RIVER_JOHN,15,0.361753195,salmon_stat_avg,0,0,0,salmon_stat_avg
318,RIVER_JOHN,15,0.361753195,habitat_suitability_avg,0.541599411,53.91560392,53.91560392,habitat_suitability_avg
319,RIVER_JOHN,15,0.361753195,road_desnity_avg,2.264584517,57.97717426,57.97717426,road_desnity_avg
320,RIVER_JOHN,15,0.361753195,Temp_Vel_avg,1.146860853,2.525581998,2.525581998,Temp_Vel_avg
321,RIVER_JOHN,15,0.361753195,X_stream_avg,0.654779624,54.23563119,54.23563119,X_stream_avg
322,RIVER_JOHN,15,0.361753195,AqBarrier_avg,0.030240567,5.607753398,5.607753398,AqBarrier_avg
323,RIVER_JOHN,15,0.361753195,urban_land_avg,6.227221812,22.10873944,22.10873944,urban_land_avg
324,RIVER_JOHN,15,0.361753195,clear_cut_avg,5.485385231,35.8678556,35.8678556,clear_cut_avg
325,RIVER_JOHN,15,0.361753195,agri_avg,15.52087309,46.22576796,46.22576796,agri_avg
326,RIVER_JOHN,15,0.361753195,Impv_avg,0.044539034,0.3193504,0.3193504,Impv_avg
327,RIVER_JOHN,15,0.361753195,N_Leach_avg,17.65105115,52.64964178,52.64964178,N_Leach_avg
328,RIVER_JOHN,15,0.361753195,P_Leach_avg,0.139641974,26.90950467,26.90950467,P_Leach_avg
329,RIVER_JOHN,15,0.361753195,pesticide_avg,0.01282002,1.002555803,1.002555803,pesticide_avg
330,RIVER_JOHN,15,0.361753195,pollution_avg,0,0,0,pollution_avg
375,ISLE_MADAME,18,0.36289618,SARproportion,0,0,0,SARproportion
376,ISLE_MADAME,18,0.36289618,detections,1,8.333333333,8.333333333,detections
377,ISLE_MADAME,18,0.36289618,BoatLaunch,1,50,50,BoatLaunch
378,ISLE_MADAME,18,0.36289618,EBSAproportion,0,0,0,EBSAproportion
379,ISLE_MADAME,18,0.36289618,NSResproportion,0,0,0,NSResproportion
380,ISLE_MADAME,18,0.36289618,nativeFish,6,28.57142857,28.57142857,nativeFish
381,ISLE_MADAME,18,0.36289618,RecFishproportion,1,0,0,RecFishproportion
382,ISLE_MADAME,18,0.36289618,NSParksproportion,1,3.448275862,3.448275862,NSParksproportion
383,ISLE_MADAME,18,0.36289618,salmon_stat_avg,0,0,0,salmon_stat_avg
384,ISLE_MADAME,18,0.36289618,habitat_suitability_avg,0.887179104,89.20980871,89.20980871,habitat_suitability_avg
385,ISLE_MADAME,18,0.36289618,road_desnity_avg,2.555350603,69.1073331,69.1073331,road_desnity_avg
386,ISLE_MADAME,18,0.36289618,Temp_Vel_avg,0,0,0,Temp_Vel_avg
387,ISLE_MADAME,18,0.36289618,X_stream_avg,0.775573878,66.50982974,66.50982974,X_stream_avg
388,ISLE_MADAME,18,0.36289618,AqBarrier_avg,0.015623449,2.897182721,2.897182721,AqBarrier_avg
389,ISLE_MADAME,18,0.36289618,urban_land_avg,10.48627588,43.82604047,43.82604047,urban_land_avg
390,ISLE_MADAME,18,0.36289618,clear_cut_avg,1.593545795,8.582809232,8.582809232,clear_cut_avg
391,ISLE_MADAME,18,0.36289618,agri_avg,1.896019608,5.548041835,5.548041835,agri_avg
392,ISLE_MADAME,18,0.36289618,Impv_avg,0.343788979,8.204461314,8.204461314,Impv_avg
393,ISLE_MADAME,18,0.36289618,N_Leach_avg,0,0,0,N_Leach_avg
394,ISLE_MADAME,18,0.36289618,P_Leach_avg,0,0,0,P_Leach_avg
395,ISLE_MADAME,18,0.36289618,pesticide_avg,0,0,0,pesticide_avg
396,ISLE_MADAME,18,0.36289618,pollution_avg,0,0,0,pollution_avg
749,MERSEY,35,0.363794506,SARproportion,0,0,0,SARproportion
750,MERSEY,35,0.363794506,detections,6,50,50,detections
751,MERSEY,35,0.363794506,BoatLaunch,1,50,50,BoatLaunch
752,MERSEY,35,0.363794506,EBSAproportion,1,20,20,EBSAproportion
753,MERSEY,35,0.363794506,NSResproportion,1,20,20,NSResproportion
754,MERSEY,35,0.363794506,nativeFish,16,76.19047619,76.19047619,nativeFish
755,MERSEY,35,0.363794506,RecFishproportion,4,75,75,RecFishproportion
756,MERSEY,35,0.363794506,NSParksproportion,29,100,100,NSParksproportion
757,MERSEY,35,0.363794506,salmon_stat_avg,0,0,0,salmon_stat_avg
758,MERSEY,35,0.363794506,habitat_suitability_avg,0.235015251,22.60402995,22.60402995,habitat_suitability_avg
759,MERSEY,35,0.363794506,road_desnity_avg,0.89844732,5.683166373,5.683166373,road_desnity_avg
